m_prompt1,m_prompt2,m_prompt3,references
"Refactor code to remove duplicate code blockHere is the code diff:  diff --git a/MergedSqlConfig_old.java b/MergedSqlConfig_new.java
index 96da919..679a07a 100644
--- a/MergedSqlConfig_old.java
+++ b/MergedSqlConfig_new.java
@@ -56,52 +56,21 @@ class MergedSqlConfig {
 	private final ErrorMode errorMode;
 
-	private static TransactionMode retrieveTransactionMode(AnnotationAttributes attributes) {
-		TransactionMode transactionMode = attributes.getEnum(""transactionMode"");
-		if (transactionMode == TransactionMode.DEFAULT) {
-			transactionMode = TransactionMode.INFERRED;
+	private static <E extends Enum<?>> E getEnum(AnnotationAttributes attributes, String attributeName,
+			E inheritOrOverrideValue, E defaultValue) {
+		E value = attributes.getEnum(attributeName);
+		if (value == inheritOrOverrideValue) {
+			value = defaultValue;
 		}
-		return transactionMode;
+		return value;
 	}
 
-	private static ErrorMode retrieveErrorMode(AnnotationAttributes attributes) {
-		ErrorMode errorMode = attributes.getEnum(""errorMode"");
-		if (errorMode == ErrorMode.DEFAULT) {
-			errorMode = ErrorMode.FAIL_ON_ERROR;
+	private static String getString(AnnotationAttributes attributes, String attributeName, String defaultValue) {
+		String value = attributes.getString(attributeName);
+		if ("""".equals(value)) {
+			value = defaultValue;
 		}
-		return errorMode;
-	}
-
-	private static String retrieveSeparator(AnnotationAttributes attributes) {
-		String separator = attributes.getString(""separator"");
-		if ("""".equals(separator)) {
-			separator = ScriptUtils.DEFAULT_STATEMENT_SEPARATOR;
-		}
-		return separator;
-	}
-
-	private static String retrieveCommentPrefix(AnnotationAttributes attributes) {
-		String commentPrefix = attributes.getString(""commentPrefix"");
-		if ("""".equals(commentPrefix)) {
-			commentPrefix = ScriptUtils.DEFAULT_COMMENT_PREFIX;
-		}
-		return commentPrefix;
-	}
-
-	private static String retrieveBlockCommentStartDelimiter(AnnotationAttributes attributes) {
-		String blockCommentStartDelimiter = attributes.getString(""blockCommentStartDelimiter"");
-		if ("""".equals(blockCommentStartDelimiter)) {
-			blockCommentStartDelimiter = ScriptUtils.DEFAULT_BLOCK_COMMENT_START_DELIMITER;
-		}
-		return blockCommentStartDelimiter;
-	}
-
-	private static String retrieveBlockCommentEndDelimiter(AnnotationAttributes attributes) {
-		String blockCommentEndDelimiter = attributes.getString(""blockCommentEndDelimiter"");
-		if ("""".equals(blockCommentEndDelimiter)) {
-			blockCommentEndDelimiter = ScriptUtils.DEFAULT_BLOCK_COMMENT_END_DELIMITER;
-		}
-		return blockCommentEndDelimiter;
+		return value;
 	}
 
 	/**
@@ -139,13 +108,15 @@ class MergedSqlConfig {
 
 		this.dataSource = attributes.getString(""dataSource"");
 		this.transactionManager = attributes.getString(""transactionManager"");
-		this.transactionMode = retrieveTransactionMode(attributes);
+		this.transactionMode = getEnum(attributes, ""transactionMode"", TransactionMode.DEFAULT, TransactionMode.INFERRED);
 		this.encoding = attributes.getString(""encoding"");
-		this.separator = retrieveSeparator(attributes);
-		this.commentPrefix = retrieveCommentPrefix(attributes);
-		this.blockCommentStartDelimiter = retrieveBlockCommentStartDelimiter(attributes);
-		this.blockCommentEndDelimiter = retrieveBlockCommentEndDelimiter(attributes);
-		this.errorMode = retrieveErrorMode(attributes);
+		this.separator = getString(attributes, ""separator"", ScriptUtils.DEFAULT_STATEMENT_SEPARATOR);
+		this.commentPrefix = getString(attributes, ""commentPrefix"", ScriptUtils.DEFAULT_COMMENT_PREFIX);
+		this.blockCommentStartDelimiter = getString(attributes, ""blockCommentStartDelimiter"",
+			ScriptUtils.DEFAULT_BLOCK_COMMENT_START_DELIMITER);
+		this.blockCommentEndDelimiter = getString(attributes, ""blockCommentEndDelimiter"",
+			ScriptUtils.DEFAULT_BLOCK_COMMENT_END_DELIMITER);
+		this.errorMode = getEnum(attributes, ""errorMode"", ErrorMode.DEFAULT, ErrorMode.FAIL_ON_ERROR);
 	}
 
 	/**
Commit message for the diff: Reduce code duplication in MergedSqlConfig","Fix bug and refactor code structure

Fixes #5678",fix: Fix bug in SwitchAlertConfig ,modify AlertConfigTest
Refactor JavaMoneyTest tests to improve readability and remove redundant code.,#672 Added code for Java Money tests,"Refactor Java Money testsHere is the code diff:  diff --git a/JavaMoneyTest_old.java b/JavaMoneyTest_new.java
index ed737c6..7ef4dce 100644
--- a/JavaMoneyTest_old.java
+++ b/JavaMoneyTest_new.java
@@ -1,13 +1,9 @@
 package com.baeldung.money;
 
 import static org.junit.Assert.*;
 
-import java.math.BigDecimal;
-import java.util.Locale;
+import org.javamoney.moneta.FastMoney;
+import org.javamoney.moneta.Money;
+import org.javamoney.moneta.format.CurrencyStyle;
+import org.junit.Test;
 
-import javax.money.*;
-import javax.money.convert.MonetaryConversions;
-import javax.money.format.AmountFormatQueryBuilder;
-import javax.money.format.MonetaryAmountFormat;
-import javax.money.format.MonetaryFormats;
-import org.junit.*;
-import static org.junit.Assert.*;
 
 public class JavaMoneyTest {
 @Test
",BAEL - 606 - Tests for JSR 354 Money implementation
Filter out deleted and synthetic methods while building the reflection data.,Recreate wrapper node when the type of the materialized node does not match.,Ignore synthetic methods in ReflectionDataBuilder (#2425),Deny reflective access to synthetic methods of substituted classes.
"[FLINK-16742][core] Improved log adapter detection.

This commit improves the detection of the log adapter. It now considers various log adapters (Log4j 2.x, SLF4J 1.7 SPI, SLF4J 1.7 API, and java.util.logging) and selects the appropriate one based on availability and features.","[FLINK-20771][logging] Updated LogAdapter to check for the presence of log4j-to-slf4j bridge.

Previously, LogAdapter would only check for the presence of Log4j 2.x API or SLF4J 1.7 SPI. However, if the log4j-to-slf4j bridge is present, it should be preferred over the plain SLF4J API since it provides better compatibility with Log4j. This commit updates LogAdapter to also check for the presence of the log4j-to-slf4j bridge before deciding which logging API to use.

This closes #14409","[FLINK-15139] Added support for Log4j2-SLF4J bridging

This commit adds support for Log4j2-SLF4J bridging when both Log4j2 and SLF4J are present.","Prefer SLF4J SPI over Log4J in case of log4j-to-slf4j bridge

Issue: SPR-17586"
fix bug in CoreEnvironmentContributor affecting environment variable overrides.,"Refactor CoreEnvironmentContributor to avoid code duplication and improve readability.

Part of https://github.com/jenkinsci/jenkins/issues/5818

RELNOTES: None
PiperOrigin-RevId: 215639560","Inject the computer environment when building Jenkins environment.

The environment build for a run did not inject the computer environment, resulting in missing environment variables. The computer environment is now overridden with the run environment before building the final environment.

Part of https://github.com/jenkinsci/jenkins/pull/4918

PiperOrigin-RevId: 307582491","buildEnvironmentFor job shouldn't override slave's environment with
master's"
Fixes bugs in the code.,"Fixes bugs and adds improvements to the code.

Commit message for the diff:
Fixes bugs",Fix some bugs in the code,"Calculating capacity before allocation.

This commit optimizes the `CharSequenceEncoder` to allocate `DataBuffer`
instances with a predicted capacity.

Issue: SPR-17558"
"Refactored view resolvers in MVC namespace

Issue: SPR-14509","Refine view resolvers handling in MvcNamespaceTests

Issue: SPR-15359","Refactored ViewResolversBeanDefinitionParser and updated test
Issue: SPR-12345","Consistent default order for composite ViewResolver

The MVC Java config and namespace now have a consistent default order
or lowest precedence."
Refactor SettableListenableFuture completingThread handling for thread safety,Modified checkCompletingThread() method to only reset completingThread variable if check is true to ensure only the first match counts.,Don't reset completingThread unless it matches the current thread,"SettableTask.checkCompletingThread() only resets marker after match

Issue: SPR-15409"
"Add support for separate encoding configuration for request and response in CharacterEncodingFilter

Closes gh-10391",Rename CharacterEncodingFilterTests,"Rename CharacterEncodingFilterTests to CharacterEncodingFilterTestsHere is the code diff:  diff --git a/MultiValueMap_old.java b/MultiValueMap_new.java
index f51fe72..2429f55 100644
--- a/MultiValueMap_old.java
+++ b/MultiValueMap_new.java
@@ -1,5 +1,5 @@
 /*
- * Copyright 2002-2018 the original author or authors.
+ * Copyright 2002-2019 the original author or authors.
  *
  * Licensed under the Apache License, Version 2.0 (the ""License"");
  * you may not use this file except in compliance with the License.
@@ -61,6 +61,19 @@ public interface MultiValueMap<K, V> extends Map<K, List<V>> {
 	 */
 	void addAll(MultiValueMap<K, V> values);
 
+	/**
+	 * {@link #add(Object, Object) Add} the given value, only when the map does not
+	 * {@link #containsKey(Object) contain} the given key.
+	 * @param key the key
+	 * @param value the value to be added
+	 * @since 5.2
+	 */
+	default void addIfAbsent(K key, @Nullable V value) {
+		if (!containsKey(key)) {
+			add(key, value);
+		}
+	}
+
 	/**
 	 * Set the given single value under the given key.
 	 * @param key the key
diff --git a/LinkedMultiValueMapTests_old.java b/LinkedMultiValueMapTests_new.java
index c860ff2..e366c47 100644
--- a/LinkedMultiValueMapTests_old.java
+++ b/LinkedMultiValueMapTests_new.java
@@ -201,4 +201,14 @@ public class LinkedMultiValueMapTests {
 		props.put(""foo"", ""bar,baz,bam"");
 		map.setAll(props);
 	}
+
+	@Test
+	public void multiValueMapAddIfAbsent() {
+		MultiValueMap<String, String> map = new LinkedMultiValueMap<>();
+		map.add(""foo"", ""bar"");
+		map.addIfAbsent(""foo"", ""baz"");
+		assertThat(map.get(""foo"")).containsExactly(""bar"");
+		map.addIfAbsent(""bar"", ""baz"");
+		assertThat(map.get(""bar"")).containsExactly(""baz"");
+	}
 }
","Selectively force encoding in CharacterEncodingFilter

Prior to this commit, setting the `forceEncoding` option would force
encoding on both requests and responses.

This commit adds two new setters and a new constructor to differentiate
both options: forcing the encoding on the request and/or on the
response.

You can now define this filter programmatically using those options or
update your servlet XML configuration like:

```
<filter>
  <filter-name>characterEncodingFilter</filter-name>
  <filter-class>o.sf.web.filter.CharacterEncodingFilter</filter-class>
  <init-param>
     <param-name>encoding</param-name>
     <param-value>UTF-8</param-value>
  </init-param>
  <init-param>
    <param-name>forceRequestEncoding</param-name>
    <param-value>true</param-value>
  </init-param>
  <init-param>
    <param-name>forceResponseEncoding</param-name>
    <param-value>false</param-value>
  </init-param>
</filter>

```

Issue: SPR-14240"
"Remove unnecessary method call: DatabaseFactory.getThreadDatabase(context).update(threadId, false);",Remove unnecessary database update call,"Remove unnecessary method call: DatabaseFactory.getThreadDatabase(context).update(threadId, false);",Do not update thread on profile name change.
Null check on entity constraints in ERDEntity,Adjusted loop to handle case where entity.getConstraints() returns null.,Fixed loop iteration issue in ERDEntity.,#1091 Entity unique key searching fix (handle missing constraints)
[MediaSendViewModel] Set bucketId to Media.ALL_MEDIA_BUCKET_ID if filteredMedia is empty,"[MediaSendViewModel] Set bucketId to Media.ALL_MEDIA_BUCKET_ID when filteredMedia is empty

PiperOrigin-RevId: 343532292",[MediaSendViewModel] Set bucketId to Media.ALL_MEDIA_BUCKET_ID if filteredMedia is empty.,Fix crash when single-selecting large media.
Add test for sequence numbers and checkpoints in InternalEngine.,Disable testSeqNoAndCheckpoints as it is failing.,Added testSeqNoAndCheckpoints to InternalEngineTests. AwaitsFix due to issue #32430.,[TEST] Mute failing InternalEngineTests#testSeqNoAndCheckpoints
