zero_prompt1,zero_prompt2,zero_prompt3,references
"[FIXED JENKINS-1234] Added more descriptive exception message when unable to read XML file. Fixed in 2.345.

git-svn-id: https://jenkins.dev.java.net/svn/jenkins/trunk@10756 71c3de6d-444a-0410-be80-ed276b4c234a","[IMPROVEMENT HUDSON-4239] Throw more informative exception when unable to read XML file. Updated XmlFile class to throw IOException2 with a specific error message. Fixed in 1.291.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@12314 71c3de6d-444a-0410-be80-ed276b4c234a",[IMPROVEMENT] Added informative error message when unable to read XML file. This will help with troubleshooting and understanding the root cause of the issue.,"[HUDSON-4941] Log which file had an XML parse error to assist in diagnosis & fix.

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@24022 71c3de6d-444a-0410-be80-ed276b4c234a"
"Add @SuppressWarnings static-method to stop0(), suspend0(), and resume0() methods in Target_java_lang_Thread","mark Target_java_lang_Thread.stop0(), suspend0(), and resume0() as unimplemented.",Refactor Target_java_lang_Thread class to remove unused private methods,Style fix
Refactor testAsyncRequests() method to use TestResponse class and improve readability and maintainability.,Refactor testAsyncRequests method to store responses in a list and add assertions on the responses.,Refactor testAsyncRequests method to use TestResponse class to store response objects for each request.,[TEST] move assertions outside of listener in testAsyncRequests for clearer test failures
Update visibility callback assignment in FrescoDrawable.,Refactor variable assignment in setVisibilityCallback method in FrescoDrawable.,Refactor setVisibilityCallback method in FrescoDrawable,"Remove unnecessary this.

Reviewed By: AurelC2G

Differential Revision: D18503722

fbshipit-source-id: 619747abd2e1ad984baa5964932550509a145b09"
"Set Java Home to system property ""java.home"" in Maven build

Closes gh-23824",Set java home for Maven build,"Set Java home path in Maven request

Closes gh-23825","Explicitly set java home in Maven Plugin integration tests

See gh-20193"
Replace multiplication instructions with constant operand with instructions that use a register instead.,Refactor code to use constant operands in IMUL and LMUL operations in AMD64Arithmetic,Optimize multiplication operations in AMD64Arithmetic module,Fix type error in code generation.
"Add support for module classpath in DefaultPlatformManager
-------------
Remove unnecessary code in DefaultPlatformManager
-------------
Increase grace period in Redeployer",Remove unnecessary code in DefaultPlatformManager and increase the grace period in Redeployer.,"Refactor ClassPath.java to detect symbolic link cycles
Refactor DefaultPlatformManager.java to remove unnecessary code
Refactor Redeployer.java to increase the grace period",some tweaks to redeploy and ignore comments and blank lines in vertx_classpath.txt
java: Added tests for handling secure and http-only cookies,java: Adding more cache tests,java: Adding cache tests for conditional update and miss,"Test that conditional misses update the cache.

Closes https://github.com/square/okhttp/issues/1712"
Fix typo in method name,Fix incorrect y position calculation in setOriginBasedPosition(),Fix setOriginBasedPosition method by using correct originY value,Fix setOriginBasedPosition
"Move META-INF/aop.xml beneath BOOT-INF/classes when repackaging

Fixes gh-1234","Move META-INF/aop.xml beneath BOOT-INF/classes when repackaging

Fixes gh-3209","Move META-INF/aop.xml beneath BOOT-INF/classes when repackaging

Fixes gh-3209","Prevent AspectJ from loading aspects too early

Previously, AspectJ would find META-INF/aop.xml almost as soon as
the jar was launched, and before LaunchedURLClassLoader had been
created. This meant that AspectJ would attempt to load aspects listed
in META-INF/aop.xml but that were package in BOOT-INF/classes and,
therefore, could not be loaded.

This commit updates the Repackager so that a META-INF/aop.xml file
is moved into BOOT-INF/classes. This ensures that it isn't visible
to the app class loader so it won't be loaded to early. It will
now be loaded by LaunchedURLClassLoader which can also load the
compiled aspects that aop.xml references.

Closes gh-7587"
[FLINK-18659][core] Remove unused method generateTotalAvailableResourceProfile,[FLINK-18657][runtime] Remove unused code in TaskExecutorProcessUtils,[FLINK-18659][core] Removed unused code for generating total available resource profile,[hotfix] Remove unused method in TaskExecutorProcessUtils
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,Regenerate LocalTimeProtocol
add database metadata support in StatementExecutorTest,Refactor StatementExecutorTest to use MemoryStrictlyStatementExecutor,Refactor StatementExecutorTest for better test coverage,"#1172, fix test case"
"Refactor sorting logic in SymbolTableCommand and DyldCacheLocalSymbolsInfo

Issue: SPR-14860","Refactor sorting logic in SymbolTableCommand and DyldCacheLocalSymbolsInfo

Issue: SPR-14859","Refactor sorting logic in SymbolTableCommand and DyldCacheLocalSymbolsInfo

Issue: SPR-14859","GT-3261: Fixing possible IllegalArgumentException in sort comparator.
Integer subtraction could result in overflow."
"MediaCodecVideoRenderer: handle unsupported DRM format

PiperOrigin-RevId: 297873726","MediaCodecVideoRenderer: handle DRM initialization and format support

PiperOrigin-RevId: 297873726","MediaCodecVideoRenderer: Apply rendering limit on feed and support DRM in format

PiperOrigin-RevId: 297873726","Re-use local variable in replacement of unnecessary indirections

PiperOrigin-RevId: 266772364"
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Run dead code elimination after framestate assignment
s/assignement/assignement"
Added @Nullable annotation to getImage() method in CloseableAnimatedImage class,Make CloseableAnimatedImage.getImage() return nullable value,Updated CloseableAnimatedImage class to include a @Nullable annotation for the getImage() method.,"add missing @Nullable on the return types in //libraries/fresco/animated-base/src/main/java/com/facebook/imagepipeline/image:image

Differential Revision: D9478143

fbshipit-source-id: 386f2d21a52b9fa63833b4ce9158f3956f32ad52"
"refactor: updated test to use internalCluster and added plugin loading

Original commit: elastic/elasticsearch-plugin-cloud-aws@95193f6f151c0512173c9c4f0d8939035653dd4b",test: added AWS plugin to run AWS-specific tests,fix: ensure correct classpath loading for plugins,"Update to elasticsearch 1.3.0

Related to #89.
(cherry picked from commit 11e1d8a)"
Add new method beforeHalt() to Target_java_lang_Shutdown class.,Add `beforeHalt` method in `Target_java_lang_Shutdown`,Add new @Substitute method beforeHalt() for JDK9 or later,"Provide empty substitution for Java11 java.lang.Shudown.beforeHalt()

8041626: Shutdown tracing event
changeset 49022:f413e471a6ab
http://mail.openjdk.java.net/pipermail/jdk-hs-changes/2018-February/000441.html"
Fixing logical operator in file filtering (#40612),Fixing logical error in filtering files (#40612),Fixing logic error in file filtering (#40612),!...anyMatch() -> noneMatch()
handling null case in getAccumulatorResult function,Handle null result for accumulator in JobExecutionResult.getAccumulatorResult,Handle NullPointerException in getAccumulatorResult() method,"[FLINK-13880][core] Correct the behavior of JobExecutionResult#getAccumulatorResult to match Javadoc

This closes #11698"
Fix bug in MediaCodecVideoRenderer where pending output stream offsets were not properly handled.,"Prevent excessive memory consumption and fix buffer switch issue in MediaCodecVideoRenderer.

This change restricts HLS buffering by the total buffer size in bytes as well as the duration in milliseconds. It also fixes an issue where the buffer was not switched correctly when reaching the target buffer duration.

Issue: #278","Fix buffer size and switch time handling in MediaCodecVideoRenderer.

This commit fixes a bug where the buffer size and switch time were not being properly updated when a new output stream offset was set. This could lead to incorrect rendering and timing issues. The bug has been fixed by ensuring that the buffer size and switch time are properly updated when a new offset is set.

Issue: #278","Fix pending stream offset activation in video renderer.

Currently, pending stream offset changes are kept until an output buffer
timestamp surpasses the next pending stream offset. However, this is
problematic if the next stream offset overlaps with the current output
buffer sample times (e.g. because the next stream starts at a non-zero start
time).

To correctly time the switch to the next stream offset, this change keeps
the timestamp of the last queued input sample as switch point. And we only
switch to the new offset after an output sample timestamp reached this switch
point.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=192736637"
"Improve exception handling in SslHandler.

PiperOrigin-RevId: 191651271","Refactor SslHandler ignoreException method

PiperOrigin-RevId: 191651271","Refactor SSL exception handling in SslHandler

- Added a pattern to match ignorable error messages related to connection reset, connection closed, and broken pipe.
- Improved the performance by checking the ignorable error message first before inspecting the stack trace elements.

PiperOrigin-RevId: 191651271","Optimize SslHandler's detection of supressable exceptions, so it will not break on different OS's or jdk impls. See #79"
